Age,Income,Saving (Cash),Property owner,Other asset,Counts,Percent
29.0, <=50K,5.0,1.0,0.0,46,0.14%
20.0, <=50K,5.0,1.0,0.0,45,0.14%
28.0, <=50K,3.0,1.0,0.0,44,0.14%
26.0, <=50K,5.0,1.0,1.0,44,0.14%
23.0, <=50K,0.0,0.0,0.0,43,0.13%
25.0, <=50K,4.0,1.0,1.0,43,0.13%
24.0, <=50K,4.0,1.0,0.0,43,0.13%
28.0, <=50K,5.0,0.0,1.0,43,0.13%
20.0, <=50K,4.0,0.0,0.0,42,0.13%
28.0, <=50K,3.0,1.0,1.0,42,0.13%
24.0, <=50K,5.0,1.0,1.0,42,0.13%
22.0, <=50K,1.0,0.0,1.0,42,0.13%
26.0, <=50K,0.0,0.0,0.0,42,0.13%
23.0, <=50K,1.0,0.0,0.0,42,0.13%
23.0, <=50K,2.0,1.0,1.0,42,0.13%
23.0, <=50K,2.0,1.0,0.0,42,0.13%
19.0, <=50K,2.0,1.0,1.0,41,0.13%
23.0, <=50K,5.0,1.0,0.0,41,0.13%
31.0, <=50K,4.0,0.0,1.0,41,0.13%
25.0, <=50K,0.0,1.0,0.0,41,0.13%
23.0, <=50K,4.0,0.0,0.0,41,0.13%
27.0, <=50K,0.0,0.0,1.0,41,0.13%
24.0, <=50K,1.0,0.0,0.0,41,0.13%
27.0, <=50K,5.0,1.0,1.0,41,0.13%
34.0, <=50K,4.0,1.0,0.0,40,0.12%
22.0, <=50K,0.0,1.0,0.0,40,0.12%
23.0, <=50K,5.0,0.0,1.0,40,0.12%
27.0, <=50K,4.0,1.0,1.0,40,0.12%
35.0, <=50K,4.0,0.0,0.0,40,0.12%
20.0, <=50K,0.0,0.0,1.0,39,0.12%
24.0, <=50K,1.0,1.0,1.0,39,0.12%
22.0, <=50K,2.0,1.0,1.0,39,0.12%
22.0, <=50K,2.0,0.0,0.0,39,0.12%
27.0, <=50K,0.0,0.0,0.0,39,0.12%
27.0, <=50K,1.0,0.0,1.0,39,0.12%
21.0, <=50K,4.0,1.0,1.0,39,0.12%
19.0, <=50K,3.0,1.0,1.0,39,0.12%
23.0, <=50K,1.0,1.0,0.0,38,0.12%
22.0, <=50K,2.0,0.0,1.0,38,0.12%
30.0, <=50K,2.0,0.0,0.0,38,0.12%
23.0, <=50K,4.0,1.0,1.0,38,0.12%
21.0, <=50K,5.0,1.0,0.0,38,0.12%
31.0, <=50K,0.0,1.0,0.0,38,0.12%
24.0, <=50K,0.0,1.0,0.0,38,0.12%
24.0, <=50K,1.0,0.0,1.0,38,0.12%
27.0, <=50K,3.0,0.0,0.0,38,0.12%
28.0, <=50K,0.0,1.0,1.0,38,0.12%
24.0, <=50K,5.0,1.0,0.0,38,0.12%
27.0, <=50K,1.0,1.0,0.0,38,0.12%
27.0, <=50K,0.0,1.0,1.0,38,0.12%
23.0, <=50K,5.0,1.0,1.0,37,0.11%
29.0, <=50K,3.0,1.0,0.0,37,0.11%
31.0, <=50K,1.0,1.0,1.0,37,0.11%
22.0, <=50K,1.0,0.0,0.0,37,0.11%
28.0, <=50K,5.0,1.0,1.0,37,0.11%
40.0, <=50K,3.0,0.0,1.0,37,0.11%
32.0, <=50K,3.0,0.0,0.0,37,0.11%
33.0, <=50K,3.0,1.0,1.0,37,0.11%
22.0, <=50K,4.0,0.0,1.0,37,0.11%
36.0, <=50K,3.0,1.0,1.0,37,0.11%
23.0, <=50K,0.0,1.0,1.0,37,0.11%
25.0, <=50K,2.0,0.0,1.0,37,0.11%
25.0, <=50K,1.0,1.0,0.0,37,0.11%
33.0, <=50K,0.0,0.0,1.0,37,0.11%
30.0, <=50K,0.0,1.0,0.0,37,0.11%
25.0, <=50K,5.0,0.0,1.0,36,0.11%
22.0, <=50K,5.0,0.0,0.0,36,0.11%
25.0, <=50K,3.0,0.0,0.0,36,0.11%
26.0, <=50K,3.0,0.0,0.0,36,0.11%
34.0, <=50K,4.0,0.0,0.0,36,0.11%
23.0, <=50K,3.0,0.0,1.0,36,0.11%
29.0, <=50K,2.0,0.0,0.0,36,0.11%
27.0, <=50K,2.0,1.0,0.0,36,0.11%
41.0, <=50K,0.0,1.0,0.0,36,0.11%
23.0, <=50K,4.0,1.0,0.0,36,0.11%
31.0, <=50K,3.0,0.0,1.0,36,0.11%
37.0, <=50K,2.0,0.0,0.0,35,0.11%
25.0, <=50K,4.0,1.0,0.0,35,0.11%
31.0, <=50K,4.0,1.0,1.0,35,0.11%
23.0, <=50K,3.0,1.0,0.0,35,0.11%
28.0, <=50K,4.0,0.0,0.0,35,0.11%
35.0, <=50K,3.0,1.0,0.0,35,0.11%
25.0, <=50K,1.0,0.0,1.0,35,0.11%
26.0, <=50K,1.0,0.0,0.0,35,0.11%
29.0, <=50K,4.0,1.0,0.0,35,0.11%
29.0, <=50K,4.0,0.0,1.0,35,0.11%
36.0, <=50K,4.0,0.0,1.0,35,0.11%
33.0, <=50K,3.0,1.0,0.0,35,0.11%
28.0, <=50K,1.0,1.0,1.0,35,0.11%
35.0, <=50K,1.0,1.0,0.0,35,0.11%
30.0, <=50K,4.0,1.0,0.0,35,0.11%
24.0, <=50K,2.0,1.0,0.0,35,0.11%
20.0, <=50K,1.0,1.0,0.0,35,0.11%
24.0, <=50K,3.0,1.0,1.0,35,0.11%
23.0, <=50K,1.0,0.0,1.0,35,0.11%
19.0, <=50K,1.0,1.0,0.0,35,0.11%
34.0, <=50K,5.0,0.0,0.0,34,0.1%
33.0, <=50K,5.0,0.0,0.0,34,0.1%
30.0, <=50K,4.0,1.0,1.0,34,0.1%
22.0, <=50K,3.0,0.0,0.0,34,0.1%
27.0, <=50K,1.0,0.0,0.0,34,0.1%
22.0, <=50K,3.0,1.0,0.0,34,0.1%
23.0, <=50K,0.0,1.0,0.0,34,0.1%
23.0, <=50K,3.0,0.0,0.0,34,0.1%
25.0, <=50K,2.0,0.0,0.0,34,0.1%
26.0, <=50K,4.0,1.0,0.0,34,0.1%
25.0, <=50K,5.0,1.0,0.0,34,0.1%
20.0, <=50K,2.0,1.0,1.0,34,0.1%
21.0, <=50K,2.0,0.0,1.0,34,0.1%
18.0, <=50K,4.0,0.0,1.0,34,0.1%
35.0, <=50K,0.0,0.0,0.0,34,0.1%
20.0, <=50K,5.0,0.0,0.0,34,0.1%
20.0, <=50K,5.0,0.0,1.0,34,0.1%
24.0, <=50K,0.0,1.0,1.0,34,0.1%
20.0, <=50K,5.0,1.0,1.0,34,0.1%
21.0, <=50K,0.0,1.0,1.0,34,0.1%
23.0, <=50K,3.0,1.0,1.0,34,0.1%
19.0, <=50K,2.0,1.0,0.0,34,0.1%
28.0, <=50K,5.0,1.0,0.0,34,0.1%
25.0, <=50K,3.0,0.0,1.0,34,0.1%
26.0, <=50K,0.0,1.0,1.0,33,0.1%
25.0, <=50K,3.0,1.0,1.0,33,0.1%
19.0, <=50K,4.0,0.0,1.0,33,0.1%
28.0, <=50K,4.0,1.0,1.0,33,0.1%
22.0, <=50K,3.0,0.0,1.0,33,0.1%
22.0, <=50K,5.0,1.0,0.0,33,0.1%
35.0, <=50K,2.0,1.0,1.0,33,0.1%
30.0, <=50K,1.0,0.0,0.0,33,0.1%
26.0, <=50K,3.0,0.0,1.0,33,0.1%
21.0, <=50K,1.0,1.0,1.0,33,0.1%
24.0, <=50K,4.0,0.0,1.0,33,0.1%
33.0, <=50K,5.0,1.0,0.0,33,0.1%
31.0, <=50K,0.0,0.0,0.0,33,0.1%
31.0, <=50K,1.0,0.0,1.0,33,0.1%
24.0, <=50K,2.0,0.0,0.0,33,0.1%
33.0, <=50K,0.0,1.0,0.0,33,0.1%
20.0, <=50K,4.0,1.0,1.0,33,0.1%
25.0, <=50K,2.0,1.0,0.0,33,0.1%
24.0, <=50K,0.0,0.0,0.0,33,0.1%
33.0, <=50K,4.0,1.0,0.0,33,0.1%
32.0, <=50K,1.0,1.0,1.0,33,0.1%
37.0, <=50K,4.0,1.0,0.0,33,0.1%
39.0, <=50K,0.0,0.0,1.0,33,0.1%
26.0, <=50K,5.0,1.0,0.0,33,0.1%
30.0, <=50K,5.0,0.0,0.0,33,0.1%
28.0, <=50K,4.0,0.0,1.0,33,0.1%
19.0, <=50K,1.0,1.0,1.0,33,0.1%
21.0, <=50K,3.0,1.0,0.0,33,0.1%
25.0, <=50K,0.0,1.0,1.0,32,0.1%
29.0, <=50K,3.0,1.0,1.0,32,0.1%
30.0, <=50K,3.0,1.0,0.0,32,0.1%
23.0, <=50K,2.0,0.0,0.0,32,0.1%
23.0, <=50K,2.0,0.0,1.0,32,0.1%
30.0, <=50K,2.0,1.0,1.0,32,0.1%
24.0, <=50K,4.0,0.0,0.0,32,0.1%
30.0, <=50K,5.0,1.0,0.0,32,0.1%
24.0, <=50K,1.0,1.0,0.0,32,0.1%
20.0, <=50K,0.0,1.0,0.0,32,0.1%
