,Counts,Percent
40.0,15217,46.73%
50.0,2819,8.66%
45.0,1824,5.6%
60.0,1475,4.53%
35.0,1297,3.98%
20.0,1224,3.76%
30.0,1149,3.53%
55.0,694,2.13%
25.0,674,2.07%
48.0,517,1.59%
38.0,476,1.46%
15.0,404,1.24%
70.0,291,0.89%
10.0,278,0.85%
32.0,266,0.82%
24.0,252,0.77%
65.0,244,0.75%
36.0,220,0.68%
42.0,219,0.67%
44.0,212,0.65%
16.0,205,0.63%
12.0,173,0.53%
43.0,151,0.46%
37.0,149,0.46%
8.0,145,0.45%
52.0,138,0.42%
80.0,133,0.41%
56.0,97,0.3%
28.0,86,0.26%
99.0,85,0.26%
46.0,82,0.25%
18.0,75,0.23%
72.0,71,0.22%
75.0,66,0.2%
6.0,64,0.2%
5.0,60,0.18%
4.0,54,0.17%
47.0,49,0.15%
84.0,45,0.14%
22.0,44,0.14%
54.0,41,0.13%
33.0,39,0.12%
3.0,39,0.12%
39.0,38,0.12%
41.0,36,0.11%
14.0,34,0.1%
2.0,32,0.1%
27.0,30,0.09%
26.0,30,0.09%
17.0,29,0.09%
49.0,29,0.09%
90.0,29,0.09%
34.0,28,0.09%
58.0,28,0.09%
7.0,26,0.08%
53.0,25,0.08%
21.0,24,0.07%
13.0,23,0.07%
23.0,21,0.06%
1.0,20,0.06%
62.0,18,0.06%
9.0,18,0.06%
57.0,17,0.05%
66.0,17,0.05%
19.0,14,0.04%
64.0,14,0.04%
51.0,13,0.04%
85.0,13,0.04%
68.0,12,0.04%
98.0,11,0.03%
11.0,11,0.03%
63.0,10,0.03%
78.0,8,0.02%
29.0,7,0.02%
77.0,6,0.02%
31.0,5,0.02%
59.0,5,0.02%
96.0,5,0.02%
67.0,4,0.01%
76.0,3,0.01%
81.0,3,0.01%
91.0,3,0.01%
61.0,2,0.01%
86.0,2,0.01%
95.0,2,0.01%
97.0,2,0.01%
89.0,2,0.01%
73.0,2,0.01%
88.0,2,0.01%
82.0,1,0.0%
92.0,1,0.0%
87.0,1,0.0%
74.0,1,0.0%
94.0,1,0.0%
